stream,composition_group,stream_aadtt_dir,bridge,system,span_m,n_girders,load_effect,unit,lane_layout,governing_section,governing_girder,threshold_u,n_exceedances,max_observed_30d,gpd_shape_xi,gpd_scale_sigma,q117,q117_over_max_observed,tail_fraction_pct,ks_statistic,ks_critical,ks_pass,gpd_support_ok
SC,intermediate,8414,C-10,two_span_continuous,10,2,V,kN,3o,central_support,1,327.566,2563,577.826,-0.00355767,28.1746,742.039,1.2842,3.291,0.015,0.02686,True,True
SP,light,7499,C-10,two_span_continuous,10,2,V,kN,2o,central_support,1,330.288,1295,520.035,-1.53083e-10,25.1727,693.458,1.3335,2.005,0.03804,0.03779,False,True
SP,light,7499,C-10,two_span_continuous,10,2,V,kN,2s,central_support,1,326.632,1142,495.314,-1.03175e-10,23.8386,667.557,1.3477,2.14,0.05074,0.04024,False,True
SP,light,7499,C-10,two_span_continuous,10,2,V,kN,3s,central_support,1,326.508,1335,519.479,-2.35067e-10,26.7834,713.73,1.3739,2.598,0.03776,0.03722,False,True
SP,light,7499,C-10,two_span_continuous,10,2,V,kN,3o,central_support,1,327.566,1418,595.507,-1.88127e-10,26.7491,715.906,1.2022,2.567,0.03151,0.03612,True,True
ROSSIGALI,,7019,C-10,two_span_continuous,10,2,V,kN,2o,central_support,1,330.288,705,471.808,-1.20352e-10,22.1384,636.219,1.3485,1.481,0.01923,0.05122,True,True
ROSSIGALI,,7019,C-10,two_span_continuous,10,2,V,kN,2s,central_support,1,326.632,590,471.808,-1.00736e-10,22.2002,629.465,1.3342,1.473,0.01481,0.05599,True,True
ROSSIGALI,,7019,C-10,two_span_continuous,10,2,V,kN,3s,central_support,1,326.508,670,510.09,-1.04427e-10,25.8652,682.624,1.3382,1.747,0.02162,0.05254,True,True
ROSSIGALI,,7019,C-10,two_span_continuous,10,2,V,kN,3o,central_support,1,327.566,712,471.872,-1.59805e-10,25.0742,674.316,1.429,1.745,0.02166,0.05097,True,True
MG,intermediate,6470,C-20,two_span_continuous,20,2,M+,kN.m,2o,first_span_0.4L,1,1547.248,2533,2543.356,-1.4446e-10,113.3215,3258.18,1.2811,2.0,0.01766,0.02702,True,True
MG,intermediate,6470,C-20,two_span_continuous,20,2,M+,kN.m,2s,first_span_0.4L,1,1530.735,1926,2462.417,-1.51302e-10,113.4574,3212.636,1.3047,1.798,0.0154,0.03099,True,True
MG,intermediate,6470,C-20,two_span_continuous,20,2,M+,kN.m,3s,first_span_0.4L,1,1525.035,2219,2718.238,-1.05358e-10,134.7125,3541.101,1.3027,2.001,0.02363,0.02887,True,True
MG,intermediate,6470,C-20,two_span_continuous,20,2,M+,kN.m,3o,first_span_0.4L,1,1533.533,2382,2507.894,-2.13604e-10,131.215,3506.557,1.3982,2.057,0.02117,0.02787,True,True
MT,heavy,4232,C-20,two_span_continuous,20,2,M+,kN.m,2o,first_span_0.4L,1,1547.248,3479,2468.39,-0.00569944,120.317,3322.838,1.3462,3.423,0.01165,0.02306,True,True
MT,heavy,4232,C-20,two_span_continuous,20,2,M+,kN.m,2s,second_span_0.4L,1,1486.094,3749,2434.047,-1.1223e-10,116.0193,3283.246,1.3489,4.41,0.00888,0.02221,True,True
MT,heavy,4232,C-20,two_span_continuous,20,2,M+,kN.m,3s,first_span_0.4L,1,1525.035,3091,2946.753,-1.40892e-09,134.8931,3588.512,1.2178,3.355,0.02349,0.02446,True,True
MT,heavy,4232,C-20,two_span_continuous,20,2,M+,kN.m,3o,second_span_0.4L,1,1490.914,4227,2433.989,-2.75899e-10,135.4589,3605.443,1.4813,4.506,0.01585,0.02092,True,True
PB,light,2635,C-20,two_span_continuous,20,2,M+,kN.m,2o,first_span_0.4L,1,1547.248,200,2303.834,-2.85613e-10,110.9372,2940.529,1.2764,0.716,0.04549,0.09617,True,True
PB,light,2635,C-20,two_span_continuous,20,2,M+,kN.m,2s,first_span_0.4L,1,1530.735,200,2208.12,-1.58377e-10,99.465,2779.934,1.259,0.848,0.06996,0.09617,True,True
PB,light,2635,C-20,two_span_continuous,20,2,M+,kN.m,3s,first_span_0.4L,1,1525.035,200,2208.12,-2.49422e-10,106.7056,2865.171,1.2976,0.832,0.07095,0.09617,True,True
PB,light,2635,C-20,two_span_continuous,20,2,M+,kN.m,3o,first_span_0.4L,1,1533.533,200,2208.485,-1.15801e-10,108.9206,2901.488,1.3138,0.794,0.05228,0.09617,True,True
PR,intermediate,7699,C-20,two_span_continuous,20,2,M+,kN.m,2o,first_span_0.4L,1,1547.248,3457,2564.114,-1.00696e-10,121.5538,3420.275,1.3339,2.142,0.00807,0.02313,True,True
PR,intermediate,7699,C-20,two_span_continuous,20,2,M+,kN.m,2s,first_span_0.4L,1,1530.735,2306,2427.295,-2.07456e-10,117.8733,3299.322,1.3593,1.684,0.01681,0.02832,True,True
