stream,composition_group,bridge,system,span_m,n_girders,load_effect,unit,q117,governing_lane_layout,governing_section,governing_girder
PR,intermediate,S-40,simply_supported,40,5,V,kN,741.96,2o,first_end_support,1
RJ,light,S-40,simply_supported,40,5,V,kN,691.151,2o,first_end_support,1
SC,intermediate,S-40,simply_supported,40,5,V,kN,695.101,2o,first_end_support,1
SP,light,S-40,simply_supported,40,5,V,kN,722.861,2o,first_end_support,1
ROSSIGALI,,S-40,simply_supported,40,5,V,kN,564.17,2o,first_end_support,1
MG,intermediate,S-50,simply_supported,50,5,M+,kN.m,7917.976,3s,midspan,1
MT,heavy,S-50,simply_supported,50,5,M+,kN.m,8426.618,3o,midspan,1
PB,light,S-50,simply_supported,50,5,M+,kN.m,6845.832,2o,midspan,1
PR,intermediate,S-50,simply_supported,50,5,M+,kN.m,8370.472,3s,midspan,1
RJ,light,S-50,simply_supported,50,5,M+,kN.m,7460.96,3o,midspan,1
SC,intermediate,S-50,simply_supported,50,5,M+,kN.m,7770.345,3s,midspan,1
SP,light,S-50,simply_supported,50,5,M+,kN.m,7565.528,3s,midspan,1
ROSSIGALI,,S-50,simply_supported,50,5,M+,kN.m,6735.895,3o,midspan,1
MG,intermediate,S-50,simply_supported,50,5,V,kN,770.022,3s,first_end_support,1
MT,heavy,S-50,simply_supported,50,5,V,kN,794.79,3o,first_end_support,1
PB,light,S-50,simply_supported,50,5,V,kN,707.463,2o,first_end_support,1
PR,intermediate,S-50,simply_supported,50,5,V,kN,788.137,3s,first_end_support,1
RJ,light,S-50,simply_supported,50,5,V,kN,721.982,2o,first_end_support,1
SC,intermediate,S-50,simply_supported,50,5,V,kN,704.764,2o,first_end_support,1
SP,light,S-50,simply_supported,50,5,V,kN,750.677,2o,first_end_support,1
ROSSIGALI,,S-50,simply_supported,50,5,V,kN,562.642,2o,first_end_support,1
