bridge,effort,cen,uf,effect,rule,Q117,n_tail,tail_threshold
S-10,M+,cen8,SC,MOMENTO_MEIO_VAO_LONG_1,q85,1591.801700087237,1358,716.4579455820602
S-10,M+,cen8,PR,MOMENTO_MEIO_VAO_LONG_1,q85,1558.2683534332034,1470,713.3060013797409
S-10,M+,cen2,MG,MOMENTO_MEIO_VAO_LONG_1,q90,1501.8168434145941,985,722.9019965556154
S-10,M+,cen2,MT,MOMENTO_MEIO_VAO_LONG_1,q90,1500.976497493757,1226,724.7322673031053
S-10,M+,cen2,PB,MOMENTO_MEIO_VAO_LONG_1,q90,1458.3104905811867,200,680.9937259944257
S-10,M+,cen2,RJ,MOMENTO_MEIO_VAO_LONG_1,q90,1427.1271704670862,384,725.1046351666648
S-10,M+,cen2,SP,MOMENTO_MEIO_VAO_LONG_1,q90,1462.342728518773,723,722.9034060513532
S-10,M+,cen2,SC,MOMENTO_MEIO_VAO_LONG_1,q90,1727.9658295872614,1079,729.3616255325584
S-10,M+,cen2,PR,MOMENTO_MEIO_VAO_LONG_1,q90,1555.451495934402,1189,728.0079445860185
S-10,M+,cen4,MG,MOMENTO_MEIO_VAO_LONG_1,q90,1504.1111305069635,730,719.5660191754185
S-10,M+,cen4,MT,MOMENTO_MEIO_VAO_LONG_1,q90,1403.5580241660484,941,720.3323366288683
S-10,M+,cen4,PB,MOMENTO_MEIO_VAO_LONG_1,q90,1455.574713862234,200,669.164972302422
S-10,M+,cen4,RJ,MOMENTO_MEIO_VAO_LONG_1,q90,1448.1822715702633,294,725.2222110889818
S-10,M+,cen4,SP,MOMENTO_MEIO_VAO_LONG_1,q90,1443.6021387857913,538,718.6469502568578
S-10,M+,cen4,SC,MOMENTO_MEIO_VAO_LONG_1,q90,1563.3158136639663,763,727.194446377526
S-10,M+,cen4,PR,MOMENTO_MEIO_VAO_LONG_1,q90,1469.6142804457827,833,723.4513341773553
S-10,M+,cen6,MG,MOMENTO_MEIO_VAO_LONG_1,q90,1625.853904726173,734,732.2397704150854
S-10,M+,cen6,MT,MOMENTO_MEIO_VAO_LONG_1,q90,1431.586570570524,930,733.756367539333
S-10,M+,cen6,PB,MOMENTO_MEIO_VAO_LONG_1,q90,1447.7616842690095,200,669.164972302422
S-10,M+,cen6,RJ,MOMENTO_MEIO_VAO_LONG_1,q90,1468.409544516489,291,735.3683048404712
S-10,M+,cen6,SP,MOMENTO_MEIO_VAO_LONG_1,q90,1457.4390008726623,548,731.004991323707
S-10,M+,cen6,SC,MOMENTO_MEIO_VAO_LONG_1,q90,1523.0789395607862,785,743.9354193361887
S-10,M+,cen6,PR,MOMENTO_MEIO_VAO_LONG_1,q90,1483.7268621007413,852,739.6510993325198
S-10,M+,cen8,MG,MOMENTO_MEIO_VAO_LONG_1,q90,1520.2887862973173,826,731.115545531776
S-10,M+,cen8,MT,MOMENTO_MEIO_VAO_LONG_1,q90,1415.7192675221288,1034,733.0924098148948
S-10,M+,cen8,PB,MOMENTO_MEIO_VAO_LONG_1,q90,1422.6678227948535,200,671.8054221370148
S-10,M+,cen8,RJ,MOMENTO_MEIO_VAO_LONG_1,q90,1506.0428058782747,323,731.9696143186438
S-10,M+,cen8,SP,MOMENTO_MEIO_VAO_LONG_1,q90,1541.1370904671485,615,728.7871295569341
S-10,M+,cen8,SC,MOMENTO_MEIO_VAO_LONG_1,q90,1588.452496774909,906,740.8694759627638
S-10,M+,cen8,PR,MOMENTO_MEIO_VAO_LONG_1,q90,1555.372933444943,980,738.1632228381632
S-10,M+,cen2,MG,MOMENTO_MEIO_VAO_LONG_1,q925,1473.6204390916473,739,738.3032759129663
S-10,M+,cen2,MT,MOMENTO_MEIO_VAO_LONG_1,q925,1499.721107457105,919,739.6358667931556
S-10,M+,cen2,PB,MOMENTO_MEIO_VAO_LONG_1,q925,1458.3104905811867,200,680.9937259944257
S-10,M+,cen2,RJ,MOMENTO_MEIO_VAO_LONG_1,q925,1419.363484407791,288,740.2817246910778
S-10,M+,cen2,SP,MOMENTO_MEIO_VAO_LONG_1,q925,1434.1528630200748,543,736.2391312464514
S-10,M+,cen2,SC,MOMENTO_MEIO_VAO_LONG_1,q925,1724.7351248778198,809,744.4055147315598
S-10,M+,cen2,PR,MOMENTO_MEIO_VAO_LONG_1,q925,1550.5167472983403,892,744.1303043748995
S-10,M+,cen4,MG,MOMENTO_MEIO_VAO_LONG_1,q925,1478.7376002685346,548,733.6900128076187
S-10,M+,cen4,MT,MOMENTO_MEIO_VAO_LONG_1,q925,1398.5728848305075,706,734.2703936679706
S-10,M+,cen4,PB,MOMENTO_MEIO_VAO_LONG_1,q925,1455.574713862234,200,669.164972302422
S-10,M+,cen4,RJ,MOMENTO_MEIO_VAO_LONG_1,q925,1436.7666967593887,221,742.701649964189
S-10,M+,cen4,SP,MOMENTO_MEIO_VAO_LONG_1,q925,1416.2533403269972,403,732.7452744728643
S-10,M+,cen4,SC,MOMENTO_MEIO_VAO_LONG_1,q925,1554.0762445350035,572,741.4308509503619
S-10,M+,cen4,PR,MOMENTO_MEIO_VAO_LONG_1,q925,1450.2447141634516,625,738.9460280838343
S-10,M+,cen6,MG,MOMENTO_MEIO_VAO_LONG_1,q925,1610.9444516973929,550,748.5493557034033
S-10,M+,cen6,MT,MOMENTO_MEIO_VAO_LONG_1,q925,1426.9529547277712,697,751.7444815609279
S-10,M+,cen6,PB,MOMENTO_MEIO_VAO_LONG_1,q925,1447.7616842690095,200,669.164972302422
S-10,M+,cen6,RJ,MOMENTO_MEIO_VAO_LONG_1,q925,1481.1473054727817,218,757.6587847764749
S-10,M+,cen6,SP,MOMENTO_MEIO_VAO_LONG_1,q925,1448.8362944293997,411,748.3765581929869
S-10,M+,cen6,SC,MOMENTO_MEIO_VAO_LONG_1,q925,1518.1276683053431,589,761.2854179122508
S-10,M+,cen6,PR,MOMENTO_MEIO_VAO_LONG_1,q925,1473.4491712449471,639,757.4337759728292
S-10,M+,cen8,MG,MOMENTO_MEIO_VAO_LONG_1,q925,1499.58540932399,619,748.8961153100898
S-10,M+,cen8,MT,MOMENTO_MEIO_VAO_LONG_1,q925,1407.075322315009,775,750.4677175228056
S-10,M+,cen8,PB,MOMENTO_MEIO_VAO_LONG_1,q925,1422.6678227948535,200,671.8054221370148
S-10,M+,cen8,RJ,MOMENTO_MEIO_VAO_LONG_1,q925,1509.9094320840875,243,752.2051309628816
S-10,M+,cen8,SP,MOMENTO_MEIO_VAO_LONG_1,q925,1566.9389561973667,462,746.445415328573
S-10,M+,cen8,SC,MOMENTO_MEIO_VAO_LONG_1,q925,1582.4693058628864,679,756.6089485967127
S-10,M+,cen8,PR,MOMENTO_MEIO_VAO_LONG_1,q925,1562.7648121891707,735,756.0415811281119
S-10,M+,cen2,MG,MOMENTO_MEIO_VAO_LONG_1,q95,1435.593425748124,493,760.7681477032023
S-10,M+,cen2,MT,MOMENTO_MEIO_VAO_LONG_1,q95,1497.3006657741334,613,763.3858106231621
S-10,M+,cen2,PB,MOMENTO_MEIO_VAO_LONG_1,q95,1458.3104905811867,200,680.9937259944257
S-10,M+,cen2,RJ,MOMENTO_MEIO_VAO_LONG_1,q95,1412.766076287171,200,764.5211885120286
S-10,M+,cen2,SP,MOMENTO_MEIO_VAO_LONG_1,q95,1405.9397665669753,362,759.7443686102557
S-10,M+,cen2,SC,MOMENTO_MEIO_VAO_LONG_1,q95,1713.309204233884,540,766.2611500527694
S-10,M+,cen2,PR,MOMENTO_MEIO_VAO_LONG_1,q95,1545.3783909992753,595,769.2964360354891
S-10,M+,cen4,MG,MOMENTO_MEIO_VAO_LONG_1,q95,1445.9263077310195,365,754.725300016602
S-10,M+,cen4,MT,MOMENTO_MEIO_VAO_LONG_1,q95,1397.1037482129548,471,757.3052349638544
S-10,M+,cen4,PB,MOMENTO_MEIO_VAO_LONG_1,q95,1455.574713862234,200,669.164972302422
S-10,M+,cen4,RJ,MOMENTO_MEIO_VAO_LONG_1,q95,1432.480161891368,200,750.2695292547688
S-10,M+,cen4,SP,MOMENTO_MEIO_VAO_LONG_1,q95,1387.6188462555965,269,756.9136027710703
S-10,M+,cen4,SC,MOMENTO_MEIO_VAO_LONG_1,q95,1537.301065541209,382,763.9331533036043
S-10,M+,cen4,PR,MOMENTO_MEIO_VAO_LONG_1,q95,1430.6527067357592,417,763.5264938815559
S-10,M+,cen6,MG,MOMENTO_MEIO_VAO_LONG_1,q95,1593.6228125877055,367,774.0411654552936
