bridge,bridge_slug,effort,model,rule,Q117,ratio_tb45,selected_uf,selected_cen,selected_effect,relative_to_q90_pct
C-10,lc10,V,Weibull3P,q95,814.4169473370048,1.5168875904954457,MG,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1.2946725902907241
C-10,lc10,V,Weibull3P,frac058,813.5669913780644,1.5153045099237556,MG,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,1.1889576848500338
C-10,lc10,V,GPD,q90,891.9171660504211,1.6612351761043418,PR,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,10.933911196413405
C-10,lc10,V,GumbelDailyMax,block,760.3818131245689,1.4162447627576251,MG,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,-5.426051046807401
C-10,lc10,M-,Weibull3P,q85,1386.9008645177855,1.8494477457231437,MT,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,0.5794188002339551
C-10,lc10,M-,Weibull3P,q90,1378.911193822249,1.838793430887117,MG,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,0.0
C-10,lc10,M-,Weibull3P,q925,1368.0726050748096,1.8243400521066937,MG,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,-0.786025147667091
C-10,lc10,M-,Weibull3P,q95,1375.823663927235,1.8346761753930325,SP,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,-0.22391071367371396
C-10,lc10,M-,Weibull3P,frac058,1460.3402496012545,1.947379983466135,SP,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,5.905315450612125
C-10,lc10,M-,GPD,q90,1740.6748091035463,2.3212092400367332,MG,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,26.235454241147526
C-10,lc10,M-,GumbelDailyMax,block,1275.4317378959452,1.7008024241844848,MG,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,-7.5044322208644765
C-20,lc20,M+,Weibull3P,q85,3855.648699566812,1.4989109744457534,PR,cen6,MOMENTO_(+)_INICIO_LONG_1,0.09391087976715617
C-20,lc20,M+,Weibull3P,q90,3852.0312231562402,1.4975046546500175,PR,cen6,MOMENTO_(+)_INICIO_LONG_1,0.0
C-20,lc20,M+,Weibull3P,q925,3829.90072706511,1.488901266207328,PR,cen6,MOMENTO_(+)_INICIO_LONG_1,-0.5745149716880338
C-20,lc20,M+,Weibull3P,q95,3763.3504706003923,1.4630293786107345,PR,cen6,MOMENTO_(+)_INICIO_LONG_1,-2.302181561321448
C-20,lc20,M+,Weibull3P,frac058,3653.699097562225,1.4204016240571569,MT,cen6,MOMENTO_(+)_FIM_LONG_1,-5.148767341286186
C-20,lc20,M+,GPD,q90,4590.247723292204,1.7844915924628555,PR,cen6,MOMENTO_(+)_INICIO_LONG_1,19.164343624688772
C-20,lc20,M+,GumbelDailyMax,block,3946.5387326195955,1.5342451240600223,PR,cen6,MOMENTO_(+)_INICIO_LONG_1,2.453446090863154
C-20,lc20,V,Weibull3P,q85,1202.5335950384629,1.6063766965515132,MT,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,1.1362387793987017
C-20,lc20,V,Weibull3P,q90,1189.0234495089976,1.5883294810432775,MT,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,0.0
C-20,lc20,V,Weibull3P,q925,1181.4221181582416,1.5781754183251957,SP,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,-0.6392919629881977
C-20,lc20,V,Weibull3P,q95,1201.2777996310185,1.604699171294441,SP,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,1.0306230820831486
C-20,lc20,V,Weibull3P,frac058,1342.6893584224442,1.7936005322234092,SP,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,12.923707179778688
C-20,lc20,V,GPD,q90,1486.1898358767066,1.9852923268457208,PR,cen6,CORTANTE_APOIO_CENTRAL_LONG_1,24.992474832218203
C-20,lc20,V,GumbelDailyMax,block,1048.0101899633273,1.399960178951813,MT,cen8,CORTANTE_APOIO_CENTRAL_LONG_1,-11.859586083344375
C-20,lc20,M-,Weibull3P,q85,3461.9003803547507,1.489373765425379,MT,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,0.4715906864408703
C-20,lc20,M-,Weibull3P,q90,3445.651011099151,1.4823829853291821,MT,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,0.0
C-20,lc20,M-,Weibull3P,q925,3418.5002542803213,1.4707022260713825,MT,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,-0.7879717571910749
