bridge,variant,paper_effort,worst_cen,effect,unit,n_peaks,mean,std,skewness,kurtosis,weibull_k,weibull_alpha,weibull_u,N_TR117,Q_TR117,R_TR117,N_TR174,Q_TR174,R_TR174
lb20,origfiel,M+,cen8,MOMENTO_MEIO_VAO_LONG_1,kN.m,9302,1701.1385886972394,131.44901687825512,2.4049308278276413,11.522025798941293,0.8852444482967257,109.32321088542888,1585.0454755236976,13241397.0,4161.390913506259,0.005634725194316007,19692334.0,4231.935544926313,0.0056172848827452425
lb20,origfiel,V,cen8,CORTANTE_APOIO_INICIO_LONG_1,kN,12370,377.5126771621418,26.73268479688188,2.390758237966991,11.79898684347645,0.8886712653562427,22.371271599490143,353.8079295361844,17608695.0,884.8296484109483,0.02792071396286182,26187290.0,899.065268570597,0.02783860298324948
lb20,pb,M+,cen6,MOMENTO_MEIO_VAO_LONG_1,kN.m,231,2401.8902953089955,188.02684285263794,2.686880950620647,16.606883729090576,0.8239943731576205,138.71347507161303,2247.911720068992,328828.5,5280.629580692264,0.0034515049847184944,489027.0,5395.998077147057,0.0034288985751634816
lb20,pb,V,cen8,CORTANTE_APOIO_FIM_LONG_1,kN,277,512.5461493860307,40.78958108841233,2.2761728738698084,13.059121206086548,0.917788603901863,35.91294926268888,475.15218388117074,394309.5,1056.9443941045392,0.020326168507373708,586409.0,1076.4967185011558,0.02027100770499826
lb20,pr,M+,cen6,MOMENTO_MEIO_VAO_LONG_1,kN.m,5696,2165.4984443484286,213.01995603171596,1.3416914252912802,4.879588264108673,1.302656668238342,298.02692321570896,1890.3605989175348,8108256.0,4383.22320267493,0.008313003155440537,12058432.0,4430.828472558662,0.00836073349612152
lb20,pr,V,cen8,CORTANTE_APOIO_INICIO_LONG_1,kN,6509,484.1247970868388,47.78925538157524,1.511500377119912,5.46742085917333,1.2050405763089658,61.01413913171843,426.79307781556355,9265561.5,1037.1827625988667,0.03166999459362661,13779553.0,1049.6884153364492,0.031801965710702616
lb20,rj,M+,cen6,MOMENTO_MEIO_VAO_LONG_1,kN.m,1563,2120.7892287474856,197.7873821425538,1.5805502340670903,6.1760110705086735,1.1699557082727552,243.55275386141284,1890.1307833597484,2224930.5,4301.097864872401,0.007092249079016107,3308871.0,4356.948492351801,0.007119907002929385
lb20,rj,V,cen6,CORTANTE_APOIO_INICIO_LONG_1,kN,3698,447.309939342031,44.26657370104067,1.8213314030650907,7.021440482892071,1.064476972911507,48.258924138199035,400.2147699144801,5264103.0,1032.9005066494994,0.02603866842614716,7828666.0,1048.1307740297618,0.02607863532135991
lb20,sc,M+,cen6,MOMENTO_MEIO_VAO_LONG_1,kN.m,2717,2244.944468182203,193.73709885108786,1.4118120769858165,5.3412107598621885,1.2602395728230475,260.88063799394615,2002.4103897940154,3867649.5,4259.308504880946,0.008469816258374728,5751889.0,4306.041546949229,0.008515112277798964
lb20,sc,V,cen8,CORTANTE_APOIO_INICIO_LONG_1,kN,5003,480.2574508551059,44.7657429151565,1.5613372180220437,5.7626065838738825,1.1794762158766392,55.67820096701263,427.6440512313793,7121770.5,1005.0083123578689,0.03223365837011283,10591351.0,1017.2976119426509,0.03235573521357934
