bridge_label,family,span_m,effort,uf,gov_cen,gov_effect,gov_girder,Q141,Q117,Q174,weibull_k,weibull_alpha,weibull_u,unit,n_peaks,source
C-30,C,30,M+,pr,cen6,MOMENTO_(+)_INICIO_LONG_1,1,7537.8,7479.7,7603.4,0.9435,248.415,2615.32,kN.m,10857,2lg
C-30,C,30,M+,rj,cen6,MOMENTO_(+)_INICIO_LONG_1,1,6265.0,6220.6,6315.0,1.0268,262.647,2371.844,kN.m,4847,2lg
C-30,C,30,M+,sc,cen6,MOMENTO_(+)_INICIO_LONG_1,1,6953.8,6903.7,7010.2,0.9802,248.529,2555.351,kN.m,10617,2lg
C-30,C,30,M+,sp,cen6,MOMENTO_(+)_INICIO_LONG_1,1,6320.4,6278.1,6368.0,1.0362,258.754,2466.234,kN.m,7934,2lg
C-30,C,30,M-,mg,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,5114.7,5075.9,5158.4,0.9857,197.044,1912.429,kN.m,3537,2lg
C-30,C,30,M-,mt,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,5451.8,5412.3,5496.4,1.0186,226.868,2001.635,kN.m,5160,2lg
C-30,C,30,M-,pb,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,3894.8,3867.4,3925.7,0.9965,145.094,1866.398,kN.m,604,2lg
C-30,C,30,M-,pr,cen8,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,5178.1,5141.6,5219.2,1.029,217.481,1950.016,kN.m,5442,2lg
C-30,C,30,M-,rj,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,4516.8,4480.6,4557.6,0.9485,159.012,1807.023,kN.m,1450,2lg
C-30,C,30,M-,sc,cen2,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,5075.0,5037.3,5117.5,0.965,176.209,1937.406,kN.m,5727,2lg
C-30,C,30,M-,sp,cen6,MOMENTO_(-)_APOIO_CENTRAL_LONG_1,1,5013.3,4972.1,5059.8,0.9297,167.094,1872.131,kN.m,2557,2lg
S-30,S,30,V,mg,cen8,CORTANTE_APOIO_INICIO_LONG_1,1,1308.8,1299.3,1319.6,0.9618,44.075,524.052,kN,4937,2lg
S-30,S,30,V,mt,cen8,CORTANTE_APOIO_INICIO_LONG_1,1,1360.8,1351.3,1371.5,0.9873,48.559,548.55,kN,5959,2lg
S-30,S,30,V,pb,cen2,CORTANTE_APOIO_INICIO_LONG_1,1,1131.0,1122.5,1140.5,0.9664,40.005,511.99,kN,784,2lg
S-30,S,30,V,pr,cen6,CORTANTE_APOIO_INICIO_LONG_1,1,1326.0,1316.6,1336.7,0.9887,48.346,520.624,kN,5947,2lg
S-30,S,30,V,rj,cen8,CORTANTE_APOIO_INICIO_LONG_1,1,1206.1,1197.1,1216.2,0.9802,44.604,491.902,kN,2226,2lg
S-30,S,30,V,sc,cen6,CORTANTE_APOIO_INICIO_LONG_1,1,1222.4,1214.4,1231.4,1.0291,47.877,512.449,kN,5387,2lg
S-30,S,30,V,sp,cen8,CORTANTE_APOIO_INICIO_LONG_1,1,1305.8,1295.5,1317.6,0.9081,38.307,512.426,kN,3757,2lg
S-30,S,30,M+,mg,cen6,MOMENTO_MEIO_VAO_LONG_1,1,9358.5,9287.9,9438.1,0.9566,319.432,3655.913,kN.m,4041,2lg
S-30,S,30,M+,mt,cen8,MOMENTO_MEIO_VAO_LONG_1,1,9492.3,9426.0,9567.1,0.9906,343.028,3838.218,kN.m,5480,2lg
S-30,S,30,M+,pb,cen2,MOMENTO_MEIO_VAO_LONG_1,1,8004.8,7942.3,8075.4,0.9382,264.423,3598.585,kN.m,705,2lg
S-30,S,30,M+,pr,cen6,MOMENTO_MEIO_VAO_LONG_1,1,9524.9,9454.5,9604.4,0.9703,336.575,3655.56,kN.m,5289,2lg
