bridge,bridge_slug,effort,composition,volume,AADTT,n_days,threshold_u,n_tail,n_recorded,Q117,R2,R1_mean_log_daily_max,mean_daily_max
S-30,lb30,V,mg,p25,502.0,30,393.06789858628133,2997,8702,945.7529622273274,501.411868475108,6.4778624982805875,651.5753084316016
S-30,lb30,V,mg,p50,1092.0,30,393.06789858628133,6539,18978,952.4995854728431,535.0590674835045,6.515248546477276,677.2086346701378
S-30,lb30,V,mg,pb,2635.0,30,393.06789858628133,15630,45679,996.7949401008859,573.956492673911,6.573928096276466,717.7295834770177
S-30,lb30,V,mg,mg,6470.0,30,393.06789858628133,39298,113109,1054.1973001421666,618.8738451821944,6.652111007561047,775.7395257912023
S-30,lb30,V,mg,sc,8414.0,30,393.06789858628133,51914,147442,1065.5995088181753,634.6171739447378,6.66359291344708,785.3326453521928
S-30,lb30,V,mt,p25,502.0,30,393.06789858628133,6354,11352,928.5905400580627,551.7106153123586,6.542073535729798,695.399130791297
S-30,lb30,V,mt,p50,1092.0,30,393.06789858628133,13922,24683,976.1174219848929,593.9208507038067,6.611277893115454,745.1507391038157
S-30,lb30,V,mt,pb,2635.0,30,393.06789858628133,33866,59781,988.4158738472013,640.0778799100492,6.652118236717231,775.2815531331163
S-30,lb30,V,mt,mg,6470.0,30,393.06789858628133,85011,147630,1048.1281788795989,688.7866973563246,6.725611417107696,834.9761525145848
S-30,lb30,V,mt,sc,8414.0,30,393.06789858628133,111071,190981,1065.6867870805927,705.0484709629986,6.75244288079798,857.992353433193
S-30,lb30,V,pb,p25,502.0,30,393.06789858628133,1000,4008,877.1066589170389,431.73684567277235,6.376369568635997,589.3656801011415
S-30,lb30,V,pb,p50,1092.0,30,393.06789858628133,2138,8821,904.378522739418,479.7035519781657,6.426187253992084,619.2832061546184
S-30,lb30,V,pb,pb,2635.0,30,393.06789858628133,5258,21649,955.2521328652383,519.3737137421649,6.497465427566261,664.858057932879
S-30,lb30,V,pb,mg,6470.0,30,393.06789858628133,13224,53928,1006.2672551178896,558.5282430543301,6.563138166703101,710.757053040573
S-30,lb30,V,pb,sc,8414.0,30,393.06789858628133,17327,70620,1029.194918185336,573.3204583829635,6.589586466411381,729.0349267852172
S-50,lb50_5lg,M+,mg,p25,502.0,30,2374.971245722529,2910,8536,5897.831731452312,3259.6993459679866,8.332038965495375,4161.14374554847
S-50,lb50_5lg,M+,mg,p50,1092.0,30,2374.971245722529,6299,18626,5953.067389386157,3458.13475883452,8.373673352741745,4344.048395600117
S-50,lb50_5lg,M+,mg,pb,2635.0,30,2374.971245722529,15089,44756,6180.48427520348,3682.0298621534866,8.432151852721478,4602.872563651287
S-50,lb50_5lg,M+,mg,mg,6470.0,30,2374.971245722529,37536,109538,6446.858349627692,3928.3827562114006,8.502813982599658,4938.432488772523
S-50,lb50_5lg,M+,mg,sc,8414.0,30,2374.971245722529,49259,140357,6514.335834415164,4010.4341729505627,8.507073161643508,4959.896766415471
S-50,lb50_5lg,M+,mt,p25,502.0,30,2374.971245722529,6287,11260,5396.09859279141,3576.2734415089767,8.401536947008253,4462.912818039509
S-50,lb50_5lg,M+,mt,p50,1092.0,30,2374.971245722529,13790,24471,5601.025892506139,3829.0946295658437,8.467288723211391,4764.694055831156
S-50,lb50_5lg,M+,mt,pb,2635.0,30,2374.971245722529,33461,59111,5646.845383067337,4081.7592936287974,8.50376703964835,4936.849695919501
S-50,lb50_5lg,M+,mt,mg,6470.0,30,2374.971245722529,82972,143675,5830.975302994271,4342.211803710149,8.571393575860066,5287.2770065368195
S-50,lb50_5lg,M+,mt,sc,8414.0,30,2374.971245722529,107108,181822,5884.143829749718,4431.856806593968,8.598729605011282,5435.529865493376
S-50,lb50_5lg,M+,pb,p25,502.0,30,2374.971245722529,1000,3904,5603.498651724381,2657.665293793112,8.236178306969682,3785.4564786131727
S-50,lb50_5lg,M+,pb,p50,1092.0,30,2374.971245722529,2135,8558,5675.025082705404,3111.0866592144525,8.28058496344817,3955.617930406216
S-50,lb50_5lg,M+,pb,pb,2635.0,30,2374.971245722529,5186,20955,5984.65828484797,3374.7536733454563,8.353261934972604,4254.047150553932
S-50,lb50_5lg,M+,pb,mg,6470.0,30,2374.971245722529,12999,51759,6254.309914368072,3592.924414203653,8.426126480685427,4576.463101333825
S-50,lb50_5lg,M+,pb,sc,8414.0,30,2374.971245722529,17035,67320,6334.459800008519,3676.0226112312725,8.433275209230313,4607.846845039129
S-50,lb50_5lg,V,mg,p25,502.0,30,250.09394524101415,2972,8717,600.3407421616089,327.3022427879088,6.043877298187869,422.1759452369436
S-50,lb50_5lg,V,mg,p50,1092.0,30,250.09394524101415,6468,18991,606.3688385510253,348.2490248926054,6.082418458906561,439.3309122170944
S-50,lb50_5lg,V,mg,pb,2635.0,30,250.09394524101415,15386,45541,631.662637237829,369.99987953579205,6.142564649151021,466.31514787638633
S-50,lb50_5lg,V,mg,mg,6470.0,30,250.09394524101415,37784,110891,656.3207835564208,395.3561323944551,6.20748553450982,497.5560465384428
S-50,lb50_5lg,V,mg,sc,8414.0,30,250.09394524101415,49211,141752,660.6908381753902,403.56592409401117,6.219099656514627,503.3199148285917
S-50,lb50_5lg,V,mt,p25,502.0,30,250.09394524101415,6362,11350,573.172712633891,359.9870370178183,6.110786665377616,451.717300043619
S-50,lb50_5lg,V,mt,p50,1092.0,30,250.09394524101415,13938,24678,596.3984555407792,386.0128911256923,6.1800758420104405,483.8300811443053
S-50,lb50_5lg,V,mt,pb,2635.0,30,250.09394524101415,33694,59539,598.5641306296577,411.2248091961815,6.212087991314864,499.1880457123434
S-50,lb50_5lg,V,mt,mg,6470.0,30,250.09394524101415,82671,144168,614.8288086179609,437.00587160570245,6.275447898549073,532.4062130691477
S-50,lb50_5lg,V,mt,sc,8414.0,30,250.09394524101415,106183,182093,617.1549563241897,444.2073461258303,6.294208522688193,542.391186077106
S-50,lb50_5lg,V,pb,p25,502.0,30,250.09394524101415,1000,4040,570.9215436356047,275.45716047224875,5.9484720427014715,384.2198889306254
S-50,lb50_5lg,V,pb,p50,1092.0,30,250.09394524101415,2129,8882,578.2758730100695,311.5815259025332,5.989974068502651,400.39938278473863
S-50,lb50_5lg,V,pb,pb,2635.0,30,250.09394524101415,5188,21663,610.2674754068121,338.0117633006836,6.061823668622906,430.13304617267954
S-50,lb50_5lg,V,pb,mg,6470.0,30,250.09394524101415,12875,53089,638.3590183013457,360.4533426281569,6.131091624533714,461.2249797538623
S-50,lb50_5lg,V,pb,sc,8414.0,30,250.09394524101415,16778,68830,647.3828444310968,368.8437186848618,6.1436559609553525,466.8012154665828
