UF,VMDa_Class,VeiculoClassificacaoQFV,share_within_group_balanced,n_umos_used,n_rows_used,vmda_group_share,scaled,share_scaled_by_vmda,fallback_all_umos
MG,E,3S3,0.7463013733564918,5,23478,0.20063347988464994,0.14973304157920633,0.14973304157920636,False
MG,E,3I3,0.24646573495091764,5,23478,0.20063347988464994,0.0494492780755304,0.04944927807553041,False
MG,E,3I1,0.003298531045061172,5,23478,0.20063347988464994,0.0006617957620781741,0.0006617957620781742,False
MG,E,2R4,0.0027061843487092454,5,23478,0.20063347988464994,0.0005429511830909109,0.000542951183090911,False
MG,E,2N4,0.0009356494795925324,5,23478,0.20063347988464994,0.00018772261104291153,0.00018772261104291156,False
MG,E,3C3,0.0002925268192276473,5,23478,0.20063347988464994,5.8690673701230804e-05,5.869067370123081e-05,False
MG,F,3T4,0.6682141019730665,5,23478,0.04276777131691328,0.028578027903920684,0.028578027903920687,False
MG,F,4DT,0.27994190251943435,5,23478,0.04276777131691328,0.011972491268972799,0.0119724912689728,False
MG,F,3D4,0.049390984248926566,5,23478,0.04276777131691328,0.0021123423194753573,0.0021123423194753578,False
MG,F,4R3,0.0024530112585726656,5,23478,0.04276777131691328,0.0001049098245444494,0.00010490982454444941,False
MG,G,3V5,0.6666666666666666,5,23478,0.0016861280511826534,0.0011240853674551023,0.0011240853674551025,False
MG,G,3P5,0.3333333333333333,5,23478,0.0016861280511826534,0.0005620426837275511,0.0005620426837275513,False
MG,H,3M6,0.6869042729345606,5,23478,0.04985896405553192,0.03424833545383554,0.03424833545383555,False
MG,H,3T6,0.3130957270654395,5,23478,0.04985896405553192,0.015610628601696378,0.01561062860169638,False
MS,A,2C,0.96875,1,3274,0.1773524180570848,0.1718101549928009,0.1718101549928009,False
MS,A,2CB,0.015625,1,3274,0.1773524180570848,0.00277113153214195,0.00277113153214195,False
MS,A,2CC,0.015625,1,3274,0.1773524180570848,0.00277113153214195,0.00277113153214195,False
MS,B,3C,0.9823008849557522,1,3274,0.14415177437113577,0.14160041553270858,0.14160041553270858,False
MS,B,2I1,0.008849557522123894,1,3274,0.14415177437113577,0.001275679419213591,0.001275679419213591,False
MS,B,3BB,0.008849557522123894,1,3274,0.14415177437113577,0.001275679419213591,0.001275679419213591,False
MS,C,4CD,0.8764044943820225,1,3274,0.12534936901837893,0.10985675037565794,0.10985675037565794,False
