UF,CODIGO_BR,_PESADOS_TOTAL,A_C,B_C,C_C,D_C,E_C,F_C,G_C,H_C,A_D,B_D,C_D,D_D,E_D,F_D,G_D,H_D
RS,101,6444.0,605.0,593.0,559.0,403.0,813.0,144.0,5.0,136.0,591.0,580.0,547.0,395.0,795.0,140.0,5.0,133.0
RS,116,11838.0,3097.0,1302.0,787.0,329.0,426.0,54.0,5.0,47.0,2966.0,1247.0,753.0,315.0,408.0,52.0,5.0,45.0
RS,153,3099.0,385.0,340.0,251.0,108.0,320.0,113.0,1.0,48.0,377.0,332.0,246.0,106.0,313.0,111.0,1.0,47.0
RS,158,2182.0,341.0,227.0,136.0,55.0,165.0,79.0,1.0,71.0,351.0,233.0,140.0,57.0,170.0,82.0,1.0,73.0
RS,285,2486.0,317.0,238.0,221.0,130.0,291.0,67.0,1.0,29.0,292.0,219.0,204.0,120.0,269.0,62.0,0.0,26.0
RS,287,2902.0,678.0,370.0,158.0,71.0,160.0,12.0,0.0,2.0,678.0,370.0,158.0,71.0,160.0,12.0,0.0,2.0
RS,290,6934.0,827.0,620.0,551.0,396.0,788.0,139.0,5.0,135.0,830.0,622.0,552.0,398.0,790.0,140.0,5.0,136.0
RS,293,1044.0,124.0,75.0,69.0,46.0,116.0,73.0,1.0,20.0,123.0,75.0,68.0,46.0,115.0,73.0,0.0,20.0
RS,377,274.0,51.0,42.0,7.0,10.0,12.0,6.0,1.0,1.0,57.0,46.0,8.0,11.0,13.0,7.0,1.0,1.0
RS,386,6869.0,1223.0,636.0,538.0,267.0,605.0,112.0,2.0,54.0,1221.0,635.0,537.0,267.0,604.0,112.0,2.0,54.0
RS,392,5223.0,887.0,83.0,686.0,24.0,707.0,149.0,6.0,77.0,883.0,82.0,682.0,24.0,703.0,148.0,5.0,77.0
RS,453,1777.0,446.0,214.0,104.0,34.0,81.0,7.0,0.0,2.0,446.0,215.0,104.0,34.0,81.0,7.0,0.0,2.0
RS,468,1030.0,138.0,119.0,90.0,38.0,92.0,22.0,0.0,9.0,142.0,123.0,92.0,40.0,94.0,22.0,0.0,9.0
RS,470,562.0,175.0,68.0,29.0,5.0,5.0,1.0,0.0,0.0,173.0,67.0,28.0,5.0,5.0,1.0,0.0,0.0
RS,471,588.0,87.0,52.0,49.0,27.0,66.0,14.0,1.0,7.0,82.0,49.0,47.0,25.0,62.0,13.0,0.0,7.0
RS,472,671.0,64.0,37.0,75.0,54.0,87.0,14.0,0.0,9.0,62.0,36.0,73.0,52.0,85.0,14.0,0.0,9.0
SC,101,13281.0,1601.0,1398.0,1178.0,897.0,694.0,493.0,30.0,400.0,1577.0,1377.0,1161.0,883.0,684.0,485.0,29.0,394.0
SC,116,2890.0,239.0,311.0,271.0,170.0,285.0,91.0,1.0,7.0,263.0,343.0,299.0,188.0,314.0,100.0,1.0,7.0
SC,158,2714.0,422.0,291.0,210.0,66.0,206.0,77.0,1.0,81.0,424.0,292.0,211.0,66.0,207.0,77.0,1.0,82.0
SC,163,1310.0,154.0,98.0,75.0,36.0,132.0,63.0,0.0,89.0,158.0,100.0,77.0,36.0,135.0,65.0,1.0,91.0
SC,280,2947.0,369.0,292.0,179.0,98.0,216.0,153.0,9.0,125.0,385.0,305.0,187.0,103.0,226.0,160.0,10.0,130.0
SC,282,2402.0,419.0,301.0,144.0,102.0,150.0,59.0,1.0,16.0,425.0,306.0,146.0,103.0,152.0,59.0,2.0,17.0
SC,283,1572.0,168.0,175.0,137.0,74.0,169.0,50.0,2.0,30.0,159.0,167.0,131.0,71.0,160.0,48.0,2.0,29.0
SC,470,4729.0,835.0,542.0,319.0,159.0,374.0,51.0,2.0,29.0,873.0,567.0,334.0,166.0,391.0,53.0,3.0,31.0
SC,486,2496.0,597.0,345.0,142.0,71.0,84.0,19.0,1.0,3.0,584.0,338.0,139.0,70.0,82.0,18.0,0.0,3.0
SE,101,6126.0,1284.0,595.0,298.0,238.0,370.0,84.0,5.0,99.0,1362.0,631.0,317.0,252.0,392.0,89.0,5.0,105.0
SE,235,1985.0,574.0,289.0,51.0,30.0,42.0,8.0,1.0,7.0,563.0,284.0,50.0,30.0,42.0,7.0,0.0,7.0
SP,050,18831.0,3439.0,2805.0,1523.0,571.0,770.0,175.0,7.0,221.0,3370.0,2749.0,1493.0,559.0,755.0,171.0,7.0,216.0
SP,101,9133.0,635.0,1556.0,848.0,371.0,409.0,58.0,6.0,68.0,833.0,2042.0,1112.0,487.0,536.0,76.0,7.0,89.0
SP,116,17697.0,2302.0,1971.0,1662.0,1133.0,1379.0,180.0,6.0,164.0,2329.0,1994.0,1681.0,1146.0,1396.0,182.0,6.0,166.0
SP,153,3590.0,413.0,361.0,234.0,153.0,295.0,76.0,2.0,143.0,471.0,411.0,267.0,175.0,336.0,87.0,3.0,163.0
SP,154,2234.0,398.0,278.0,179.0,61.0,107.0,29.0,1.0,64.0,398.0,278.0,179.0,61.0,107.0,29.0,1.0,64.0
SP,158,748.0,155.0,136.0,36.0,14.0,20.0,15.0,1.0,14.0,142.0,124.0,32.0,13.0,18.0,14.0,1.0,13.0
SP,262,1668.0,243.0,168.0,155.0,49.0,104.0,31.0,1.0,72.0,249.0,172.0,159.0,51.0,107.0,32.0,1.0,74.0
SP,267,6134.0,784.0,671.0,351.0,286.0,562.0,158.0,7.0,267.0,775.0,663.0,347.0,282.0,555.0,156.0,7.0,263.0
SP,272,4516.0,1030.0,565.0,323.0,85.0,128.0,38.0,3.0,24.0,1088.0,596.0,342.0,89.0,136.0,40.0,4.0,25.0
SP,364,9758.0,1471.0,1389.0,834.0,313.0,527.0,139.0,6.0,224.0,1457.0,1375.0,826.0,310.0,522.0,137.0,6.0,222.0
SP,369,3885.0,591.0,536.0,393.0,102.0,210.0,36.0,1.0,61.0,599.0,543.0,398.0,104.0,212.0,36.0,1.0,62.0
SP,373,2438.0,463.0,361.0,224.0,63.0,101.0,17.0,1.0,6.0,450.0,351.0,218.0,61.0,98.0,17.0,1.0,6.0
SP,374,17242.0,3534.0,2547.0,1439.0,435.0,617.0,138.0,5.0,133.0,3353.0,2416.0,1366.0,413.0,585.0,131.0,4.0,126.0
SP,381,14702.0,2677.0,1300.0,1101.0,772.0,1152.0,198.0,13.0,231.0,2610.0,1267.0,1074.0,753.0,1123.0,193.0,13.0,225.0
SP,456,3243.0,431.0,331.0,191.0,150.0,303.0,92.0,3.0,155.0,413.0,318.0,183.0,144.0,290.0,88.0,2.0,149.0
TO,153,2164.0,226.0,293.0,26.0,167.0,292.0,115.0,16.0,24.0,196.0,254.0,22.0,145.0,253.0,100.0,14.0,21.0
