UF,VMDa_Class,VeiculoClassificacaoQFV,share_within_group_balanced,n_umos_used,n_rows_used
MT,D,3C2,0.027423510466988727,3,14577
MT,D,3I2,0.02027777777777778,3,14577
MT,D,3S2,0.3830938003220612,3,14577
MT,E,2N4,0.00217715980563327,3,14577
MT,E,2R4,0.0017507330463534846,3,14577
MT,E,3C3,0.009882478632478634,3,14577
MT,E,3I1,0.008849891892630489,3,14577
MT,E,3I3,0.06410748583753907,3,14577
MT,E,3LD,0.0002670940170940171,3,14577
MT,E,3S3,0.9129651567682712,3,14577
MT,F,3D4,0.028359764137559404,3,14577
MT,F,3Q4,0.0027158038803329542,3,14577
MT,F,3T4,0.9244493158513337,3,14577
MT,F,4DT,0.03702632655907939,3,14577
MT,F,4R3,0.0074487895716946004,3,14577
MT,G,3P5,0.07692307692307693,3,14577
MT,G,3V5,0.9230769230769231,3,14577
MT,H,3M6,0.46466405531494015,3,14577
MT,H,3R6,0.00041213320145070884,3,14577
MT,H,3T6,0.5349238114836091,3,14577
PA,A,2C,0.6745605515342358,2,29608
PA,A,2CAR,0.00021853146853146856,2,29608
PA,A,2CB,0.00021853146853146856,2,29608
PA,A,2CC,0.32500238552870137,2,29608
PA,B,2I1,0.0007060855430255004,2,29608
PA,B,2S1,0.0069677266416065566,2,29608
PA,B,3C,0.9862804361813811,2,29608
PA,B,3DB,0.006045751633986928,2,29608
PA,C,2C2,0.006392669822328476,2,29608
PA,C,2I2,0.036569542155029305,2,29608
PA,C,2S2,0.2538669415882889,2,29608
PA,C,3S1,0.002721244545523047,2,29608
PA,C,4C,0.00028885037550548814,2,29608
PA,C,4CD,0.7001607515133248,2,29608
PA,D,2C3,0.0003361344537815126,2,29608
PA,D,2I3,0.018126840479781657,2,29608
PA,D,2LD,0.0030252100840336134,2,29608
PA,D,2S3,0.9147396394455218,2,29608
PA,D,3C2,0.005926883573942397,2,29608
PA,D,3I2,0.015914673561732387,2,29608
PA,D,3S2,0.04193061840120664,2,29608
PA,E,2D4,0.02031193063627145,2,29608
PA,E,2J4,7.365939893930465e-05,2,29608
PA,E,2L4,7.365939893930465e-05,2,29608
PA,E,2N4,0.0010312315851502651,2,29608
PA,E,3C3,0.004344863415172482,2,29608
PA,E,3I1,0.0027104576565171127,2,29608
PA,E,3I3,0.16070471482620546,2,29608
PA,E,3LD,0.004051266941661756,2,29608
PA,E,3S3,0.8066982161411429,2,29608
PA,F,3D4,0.37153124851254227,2,29608
PA,F,3Q4,0.0003728560775540641,2,29608
PA,F,3T4,0.5635441953448522,2,29608
PA,F,4DT,0.06455170006505148,2,29608
PA,G,3D5,0.5380952380952381,2,29608
PA,G,3P5,0.1761904761904762,2,29608
PA,G,3V5,0.2857142857142857,2,29608
PA,H,3D6,0.03225806451612903,2,29608
PA,H,3M6,0.8090021500290527,2,29608
